,Topic 0,Topic 1,Topic 2
anc-088,0.9878777676912336,0.006237108202735893,0.005885124106030518
anc-089,0.9669375230365792,0.017512065740309196,0.015550411223111535
anc-090,0.9697837369798562,0.014723512789726613,0.015492750230417027
anc-091,0.012094484719050943,0.9743990657197965,0.013506449561152597
lau-013,0.9885022663104401,0.00619082771562669,0.005306905973933208
lau-014,0.0030098955013734456,0.9940506309131765,0.002939473585450031
loh-157,0.005481635371362845,0.005507748938161925,0.9890106156904752
loh-158,0.9808262296581896,0.009205779504325296,0.009967990837485143
loh-159,0.009860532185494679,0.009768906760300115,0.9803705610542053
loh-160,0.9925029666844812,0.0036728609285889644,0.003824172386929775
