,american,asked,big,branch,brother,built,bull,buried,chain,chest,church,clothes,coins,coming,controller,couldn,country,dad,day,decided,deep,did,didn,dig,digging,dollars,door,dug,end,everybody,family,far,father,going,gold,gone,gonna,got,grandfather,grave,ground,guess,guy,hat,heard,home,house,just,killed,kind,knew,later,leave,left,legs,little,lived,ll,longer,look,looked,lost,lot,man,money,mother,moved,named,near,nose,oak,old,passed,people,picked,place,property,remember,right,road,run,scared,seeing,seen,shit,shovel,sitting,son,started,stay,stopped,story,stuff,supposed,supposedly,talk,tell,telling,texas,things,time,told,took,town,tree,true,try,trying,understand,used,want,wanted,wasn,water,way,weird,wife,wind,woods,working,yard,years,young
anc-088,0.0,0.10893269032447789,0.08473140241534402,0.0,0.0,0.0,0.32679807097343366,0.0,0.0,0.21786538064895578,0.0,0.0,0.0,0.2541942072460321,0.32679807097343366,0.0,0.0,0.0,0.0,0.10893269032447789,0.0,0.0,0.0760935888783447,0.0,0.16946280483068804,0.10893269032447789,0.0,0.0953032317817105,0.0,0.0,0.0,0.0953032317817105,0.0953032317817105,0.08473140241534402,0.0,0.08473140241534402,0.0,0.08473140241534402,0.0,0.0,0.0,0.0,0.0,0.0,0.10893269032447789,0.0,0.0,0.06879042159322589,0.0,0.0,0.10893269032447789,0.190606463563421,0.0,0.08473140241534402,0.0,0.0,0.0,0.190606463563421,0.0,0.0,0.08473140241534402,0.0,0.0,0.1706518379249367,0.0,0.0,0.0,0.10893269032447789,0.0,0.21786538064895578,0.10893269032447789,0.2541942072460321,0.10893269032447789,0.0,0.0,0.0,0.0,0.0,0.0760935888783447,0.0,0.0,0.0,0.0,0.0,0.0,0.0953032317817105,0.0,0.0,0.0953032317817105,0.0,0.0,0.0,0.0,0.0,0.0,0.08473140241534402,0.0,0.0,0.0,0.0,0.2282807666350341,0.08473140241534402,0.0,0.0953032317817105,0.0953032317817105,0.0,0.0,0.0,0.0,0.0,0.0953032317817105,0.0953032317817105,0.0,0.0,0.0,0.0,0.21786538064895578,0.0,0.2859096953451315,0.0,0.0,0.0,0.0
anc-089,0.0,0.0,0.17594052819118816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261932946539435,0.0,0.17594052819118816,0.452386589307887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1580045394928417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261932946539435,0.0,0.0,0.0,0.14283987712464608,0.0,0.0,0.2261932946539435,0.0,0.0,0.0,0.2261932946539435,0.0,0.0,0.0,0.2261932946539435,0.1580045394928417,0.0,0.2261932946539435,0.0,0.3543500242582229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17594052819118816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19789240423294246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17594052819118816,0.19789240423294246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2261932946539435,0.19789240423294246,0.0,0.0,0.0,0.0
anc-090,0.0,0.0,0.0,0.0,0.15934383516329784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15934383516329784,0.0,0.15934383516329784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15934383516329784,0.0,0.0,0.0,0.20485619447052672,0.17922496291415585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4292993130378892,0.0,0.0,0.20485619447052672,0.0,0.0,0.0,0.14309977101262975,0.0,0.2139491582222073,0.20485619447052672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14309977101262975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20485619447052672,0.0,0.0,0.0,0.0,0.0,0.17922496291415585,0.0,0.0,0.0,0.20485619447052672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17922496291415585,0.0,0.17922496291415585,0.0,0.0,0.0,0.0,0.0,0.0,0.5376748887424675,0.0,0.0,0.0,0.0
anc-091,0.0,0.0,0.13569735935690272,0.0,0.0,0.0,0.0,0.13569735935690272,0.17445572719563557,0.0,0.0,0.0,0.0,0.0,0.0,0.17445572719563557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17445572719563557,0.0,0.0,0.0,0.152628146381477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152628146381477,0.0,0.0,0.0,0.17445572719563557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152628146381477,0.0,0.0,0.12186389910278735,0.13569735935690272,0.0,0.0,0.0,0.18219930364819542,0.0,0.0,0.0,0.0,0.0,0.17445572719563557,0.0,0.0,0.0,0.0,0.36559169730836205,0.0,0.0,0.12186389910278735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17445572719563557,0.0,0.0,0.0,0.0,0.34891145439127114,0.0,0.0,0.0,0.0,0.152628146381477,0.17445572719563557,0.0,0.0,0.0,0.0,0.0,0.0,0.34891145439127114,0.305256292762954,0.11016787511070861,0.0,0.0,0.0,0.0,0.0,0.0,0.305256292762954,0.0
lau-013,0.0,0.0,0.0,0.0,0.1751457901946289,0.0,0.3377573410985898,0.0,0.1125857803661966,0.0,0.0,0.1125857803661966,0.1125857803661966,0.08757289509731445,0.0,0.1125857803661966,0.1125857803661966,0.0,0.1751457901946289,0.0,0.1125857803661966,0.0,0.07864540992436964,0.08757289509731445,0.1751457901946289,0.0,0.0,0.09849925389342315,0.0,0.0,0.1125857803661966,0.0,0.0,0.08757289509731445,0.07864540992436964,0.0,0.0,0.0,0.0,0.0,0.09849925389342315,0.1969985077868463,0.0,0.0,0.0,0.1125857803661966,0.0,0.2843893150430229,0.0,0.09849925389342315,0.0,0.0,0.1125857803661966,0.0,0.0,0.0,0.0,0.0,0.0,0.07864540992436964,0.26271868529194337,0.0,0.0,0.17637469786594837,0.05879156595531612,0.2251715607323932,0.0,0.0,0.1125857803661966,0.1125857803661966,0.0,0.0,0.0,0.0,0.0,0.07864540992436964,0.1125857803661966,0.0,0.0,0.0,0.0,0.09849925389342315,0.1125857803661966,0.1125857803661966,0.2251715607323932,0.1969985077868463,0.1125857803661966,0.0,0.09849925389342315,0.0,0.0,0.0,0.0,0.1125857803661966,0.0,0.08757289509731445,0.0,0.1125857803661966,0.0,0.1125857803661966,0.0,0.0,0.09849925389342315,0.0,0.0,0.0,0.09849925389342315,0.1125857803661966,0.0,0.0,0.0,0.0,0.0,0.0,0.07109732876075572,0.1125857803661966,0.0,0.0,0.0,0.0,0.09849925389342315,0.0,0.1969985077868463
lau-014,0.0,0.0,0.0,0.05579254003115742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05579254003115742,0.0,0.043397258867588225,0.0,0.05579254003115742,0.043397258867588225,0.0,0.08679451773517645,0.08679451773517645,0.0,0.05579254003115742,0.0,0.0,0.05579254003115742,0.05579254003115742,0.0,0.0,0.08679451773517645,0.0,0.043397258867588225,0.04881187968865344,0.26038355320552936,0.05579254003115742,0.0,0.0,0.04881187968865344,0.2440593984432672,0.05579254003115742,0.0,0.05579254003115742,0.3905477802181019,0.10569808766499811,0.0,0.04881187968865344,0.0,0.0,0.0,0.043397258867588225,0.05579254003115742,0.038973191527387624,0.0,0.0,0.0,0.1558927661095505,0.0,0.0,0.038973191527387624,0.40788304712570544,0.08740351009836544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05579254003115742,0.05579254003115742,0.05579254003115742,0.0,0.05579254003115742,0.0,0.1558927661095505,0.0,0.05579254003115742,0.09762375937730688,0.05579254003115742,0.0,0.11158508006231484,0.2440593984432672,0.05579254003115742,0.05579254003115742,0.14643563906596033,0.0,0.0,0.0,0.04881187968865344,0.0,0.0,0.043397258867588225,0.19524751875461377,0.16737762009347226,0.0,0.0,0.038973191527387624,0.0,0.0,0.0,0.3416831578205741,0.0,0.0,0.0,0.11158508006231484,0.0,0.09762375937730688,0.0,0.0,0.09762375937730688,0.0352326958883327,0.05579254003115742,0.0,0.22317016012462967,0.0,0.05579254003115742,0.09762375937730688,0.0,0.0
loh-157,0.0,0.0,0.0,0.0,0.0,0.07358364381661939,0.0,0.32710566152122017,0.0,0.0,0.08410695141149196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07358364381661939,0.0,0.13084226460848808,0.23500749916130037,0.0,0.0,0.06542113230424404,0.0,0.08410695141149196,0.0,0.0,0.07358364381661939,0.0,0.0,0.0,0.5046417084689517,0.0,0.08410695141149196,0.0,0.0,0.0,0.0,0.06542113230424404,0.0,0.0,0.22075093144985816,0.0,0.0,0.0,0.06542113230424404,0.0,0.23500749916130037,0.08784021152806162,0.08784021152806162,0.0,0.08410695141149196,0.0,0.0,0.0,0.0,0.06542113230424404,0.0,0.0,0.0,0.05875187479032509,0.0,0.0,0.11750374958065019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16821390282298393,0.0,0.07358364381661939,0.07358364381661939,0.22075093144985816,0.0,0.0,0.33642780564596786,0.0,0.07358364381661939,0.0,0.0,0.0,0.11750374958065019,0.13084226460848808,0.0,0.22075093144985816,0.0,0.08410695141149196,0.07358364381661939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25232085423447587,0.0,0.0,0.0,0.07358364381661939,0.0,0.0
loh-158,0.14493001032036487,0.0,0.11273129296573864,0.0,0.0,0.12679663308181158,0.0,0.11273129296573864,0.0,0.14493001032036487,0.28986002064072974,0.0,0.4347900309610946,0.11273129296573864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012390733085014,0.0,0.0,0.0,0.0,0.0,0.0,0.12679663308181158,0.0,0.0,0.0,0.0,0.0,0.09152254003597486,0.0,0.0,0.0,0.25359326616362315,0.0,0.22546258593147728,0.0,0.30371721992550427,0.0,0.12679663308181158,0.0,0.0,0.0,0.0,0.1012390733085014,0.22704454060557375,0.07568151353519126,0.0,0.0,0.14493001032036487,0.28986002064072974,0.0,0.0,0.0,0.0,0.0,0.14493001032036487,0.0,0.0,0.0,0.0,0.14493001032036487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14493001032036487,0.0,0.0,0.0,0.0,0.25359326616362315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09152254003597486,0.0,0.0,0.0,0.0,0.0,0.0,0.25359326616362315,0.0
loh-159,0.0,0.0,0.0,0.3181205136382263,0.12372225994495416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15906025681911315,0.12372225994495416,0.0,0.0,0.12372225994495416,0.11110958292891618,0.0,0.12372225994495416,0.0,0.15906025681911315,0.0,0.15906025681911315,0.15906025681911315,0.0,0.0,0.13915892903899046,0.0,0.4444383317156647,0.12372225994495416,0.13915892903899046,0.0,0.0,0.0,0.0,0.0,0.13915892903899046,0.0,0.0,0.0,0.0,0.0,0.0,0.13915892903899046,0.0,0.0,0.0,0.0,0.0,0.33332874878674856,0.0,0.0,0.0,0.0,0.0,0.15906025681911315,0.0,0.08306023681884192,0.08306023681884192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15906025681911315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13915892903899046,0.0,0.13915892903899046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11110958292891618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13915892903899046,0.0,0.0,0.15906025681911315,0.27831785807798093,0.20089143291552178,0.0,0.0,0.0,0.0,0.15906025681911315,0.0,0.0,0.13915892903899046
loh-160,0.08123368469046792,0.08123368469046792,0.0,0.0,0.06318621165681927,0.07106987496111085,0.0,0.06318621165681927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16246736938093584,0.06318621165681927,0.08123368469046792,0.0,0.12637242331363854,0.11348957943656988,0.2527448466272771,0.0,0.08123368469046792,0.0,0.21320962488333253,0.0,0.0,0.0,0.1421397499222217,0.0,0.0,0.11348957943656988,0.0,0.1421397499222217,0.2527448466272771,0.16246736938093584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2051945802782688,0.16246736938093584,0.0,0.0,0.1421397499222217,0.08123368469046792,0.0,0.0,0.11348957943656988,0.07106987496111085,0.1421397499222217,0.0,0.05674478971828494,0.0,0.0,0.11348957943656988,0.16967881790183617,0.2545182268527542,0.0,0.08123368469046792,0.0,0.0,0.0,0.0,0.12637242331363854,0.0,0.24370105407140377,0.0,0.11348957943656988,0.0,0.08123368469046792,0.11348957943656988,0.08123368469046792,0.08123368469046792,0.07106987496111085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07106987496111085,0.07106987496111085,0.1421397499222217,0.07106987496111085,0.0,0.0,0.12637242331363854,0.07106987496111085,0.0,0.08123368469046792,0.0,0.05674478971828494,0.31593105828409634,0.21320962488333253,0.0,0.0,0.0,0.07106987496111085,0.08123368469046792,0.08123368469046792,0.1421397499222217,0.07106987496111085,0.07106987496111085,0.0,0.0,0.0512986450695672,0.0,0.0,0.0,0.0,0.0,0.0,0.07106987496111085,0.07106987496111085
