,american,asked,big,branch,brother,built,bull,buried,came,chain,chest,church,clothes,coins,come,coming,controller,couldn,country,dad,day,decided,deep,did,didn,dig,digging,dollars,don,door,dug,end,everybody,family,far,father,going,gold,gone,gonna,got,grandfather,grave,ground,guess,guy,hat,heard,home,house,just,killed,kind,knew,know,later,leave,left,legs,like,little,lived,ll,longer,look,looked,lost,lot,man,money,mother,moved,named,near,nose,oak,old,passed,people,picked,place,property,remember,right,road,run,said,saw,scared,seeing,seen,shit,shovel,sitting,son,started,stay,stopped,story,stuff,supposed,supposedly,talk,tell,telling,texas,things,time,told,took,town,tree,true,try,trying,understand,used,want,wanted,wasn,water,way,weird,went,wife,wind,woods,working,yard,yeah,years,young
anc-088,0,1,1,0,0,0,3,0,3,0,2,0,0,0,0,3,3,0,0,0,0,1,0,0,1,0,2,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,2,0,1,0,0,0,0,2,0,0,1,0,0,3,0,0,0,1,0,2,1,3,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,2,2,0,3,0,0,0,0,0
anc-089,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0
anc-090,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0
anc-091,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,2,2,1,0,3,0,0,0,0,0,3,2,0
lau-013,0,0,0,0,2,0,3,0,0,1,0,0,1,1,2,1,0,1,1,0,2,0,1,0,1,1,2,0,2,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,2,0,0,0,1,0,4,0,1,0,2,0,1,0,0,3,0,0,0,0,1,3,0,0,3,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,2,2,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,1,0,0,2
lau-014,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1,1,0,2,2,0,8,1,0,0,1,1,0,0,2,0,1,1,6,1,0,0,1,5,1,0,1,7,3,0,1,0,5,0,0,1,1,7,1,0,0,0,4,0,0,1,14,3,0,0,0,0,0,0,0,1,1,1,0,1,0,4,0,1,14,0,2,1,0,2,5,1,1,3,0,0,0,1,0,0,1,4,3,0,0,1,0,0,0,7,0,0,0,2,0,2,0,0,2,1,1,3,0,4,0,1,2,1,0,0
loh-157,0,0,0,0,0,1,0,5,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,4,0,0,1,0,1,0,0,1,0,0,0,6,0,1,0,0,2,0,0,1,0,0,0,3,0,0,0,1,0,4,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,1,3,0,0,4,0,1,0,0,0,2,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
loh-158,1,0,1,0,0,1,0,1,0,0,1,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,0,2,0,0,3,0,1,0,0,0,0,1,3,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
loh-159,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,3,0,0,0,1,0,0,0,1
loh-160,1,1,0,0,1,1,0,1,2,0,0,0,0,0,3,0,0,0,0,2,1,1,0,2,2,4,0,1,1,0,3,0,0,0,2,0,0,2,0,2,4,2,0,0,0,0,0,0,0,0,4,2,0,0,2,2,1,0,0,0,2,1,2,0,1,0,0,2,4,6,0,1,0,0,0,0,2,0,3,0,2,0,1,2,1,1,11,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,2,1,0,1,0,1,5,3,0,0,0,1,1,1,2,1,1,0,0,1,0,6,0,0,0,0,0,0,1,1
