,american,asked,big,branch,brother,built,bull,buried,came,chain,chest,church,clothes,coins,come,coming,controller,couldn,country,dad,day,decided,deep,did,didn,dig,digging,dollars,don,door,dug,end,everybody,family,far,father,going,gold,gone,gonna,got,grandfather,grave,ground,guess,guy,hat,heard,home,house,just,killed,kind,knew,know,later,leave,left,legs,like,little,lived,ll,longer,look,looked,lost,lot,man,money,mother,moved,named,near,nose,oak,old,passed,people,picked,place,property,remember,right,road,run,said,saw,scared,seeing,seen,shit,shovel,sitting,son,started,stay,stopped,story,stuff,supposed,supposedly,talk,tell,telling,texas,things,time,told,took,town,tree,true,try,trying,understand,used,want,wanted,wasn,water,way,weird,went,wife,wind,woods,working,yard,yeah,years,young
anc-088,0.0,0.09837638310560172,0.07652036207182275,0.0,0.0,0.0,0.2951291493168052,0.0,0.20615883154298859,0.0,0.19675276621120344,0.0,0.0,0.0,0.0,0.22956108621546828,0.2951291493168052,0.0,0.0,0.0,0.0,0.09837638310560172,0.0,0.0,0.06871961051432952,0.0,0.1530407241436455,0.09837638310560172,0.0,0.0,0.08606771037263876,0.0,0.0,0.0,0.08606771037263876,0.08606771037263876,0.07652036207182275,0.0,0.07652036207182275,0.0,0.07652036207182275,0.0,0.0,0.0,0.0,0.0,0.0,0.09837638310560172,0.0,0.0,0.0621241690487321,0.0,0.0,0.09837638310560172,0.1541145319680609,0.17213542074527752,0.0,0.07652036207182275,0.0,0.0,0.0,0.0,0.17213542074527752,0.0,0.0,0.07652036207182275,0.0,0.0,0.1541145319680609,0.0,0.0,0.0,0.09837638310560172,0.0,0.19675276621120344,0.09837638310560172,0.22956108621546828,0.09837638310560172,0.0,0.0,0.0,0.0,0.0,0.06871961051432952,0.0,0.0,0.3280451263638539,0.0,0.0,0.0,0.0,0.0,0.08606771037263876,0.0,0.0,0.08606771037263876,0.0,0.0,0.0,0.0,0.0,0.0,0.07652036207182275,0.0,0.0,0.0,0.0,0.20615883154298859,0.07652036207182275,0.0,0.08606771037263876,0.08606771037263876,0.0,0.0,0.0,0.0,0.0,0.08606771037263876,0.08606771037263876,0.0,0.0,0.0,0.0,0.10274302131204062,0.19675276621120344,0.0,0.25820313111791626,0.0,0.0,0.0,0.0,0.0
anc-089,0.0,0.0,0.14620396417631953,0.0,0.0,0.0,0.0,0.0,0.13129942412474968,0.0,0.0,0.0,0.1879632662724105,0.0,0.0,0.14620396417631953,0.375926532544821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13129942412474968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1879632662724105,0.0,0.0,0.0,0.11869781506730513,0.0,0.0,0.1879632662724105,0.0,0.0,0.0,0.0,0.1879632662724105,0.13129942412474968,0.0,0.0,0.0,0.1879632662724105,0.13129942412474968,0.0,0.1879632662724105,0.0,0.29445960396475557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14620396417631953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35816048811463497,0.32889129385582844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16444564692791422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14620396417631953,0.16444564692791422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1963064026431704,0.0,0.1879632662724105,0.16444564692791422,0.0,0.0,0.0,0.0,0.0
anc-090,0.0,0.0,0.0,0.0,0.13965044330312457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541399193768318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13965044330312457,0.0,0.13965044330312457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13965044330312457,0.0,0.0,0.0,0.179537905196533,0.15707445158639494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09375353228897147,0.0,0.0,0.0,0.0,0.12541399193768318,0.37624197581304963,0.0,0.0,0.179537905196533,0.0,0.0,0.0,0.12541399193768318,0.0,0.18750706457794294,0.179537905196533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12541399193768318,0.0,0.0,0.0,0.0,0.0,0.4276326502213737,0.0,0.0,0.0,0.179537905196533,0.0,0.0,0.0,0.0,0.0,0.15707445158639494,0.0,0.0,0.0,0.179537905196533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15707445158639494,0.0,0.15707445158639494,0.0,0.0,0.0,0.0,0.09375353228897147,0.0,0.0,0.4712233547591848,0.0,0.0,0.0,0.0,0.0
anc-091,0.0,0.0,0.10817882278723599,0.0,0.0,0.0,0.0,0.10817882278723599,0.0,0.13907724723572548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13907724723572548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13907724723572548,0.0,0.0,0.0,0.1216761569863682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216761569863682,0.0,0.0,0.0,0.13907724723572548,0.0,0.0,0.0,0.0,0.0,0.0,0.07262523852610736,0.0,0.0,0.0,0.0,0.0,0.0,0.1216761569863682,0.0,0.0,0.09715069775623777,0.10817882278723599,0.0,0.0,0.0,0.14525047705221472,0.0,0.0,0.0,0.0,0.0,0.13907724723572548,0.0,0.0,0.0,0.0,0.29145209326871335,0.0,0.0,0.09715069775623777,0.0,0.0,0.06625227330774827,0.3650284709591046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13907724723572548,0.0,0.0,0.0,0.0,0.27815449447145096,0.0,0.0,0.0,0.0,0.1216761569863682,0.13907724723572548,0.0,0.0,0.0,0.0,0.0,0.0,0.27815449447145096,0.2433523139727364,0.08782655089921211,0.0,0.21787571557832205,0.0,0.0,0.0,0.0,0.0,0.4172317417071765,0.2433523139727364,0.0
lau-013,0.0,0.0,0.0,0.0,0.16311471853057838,0.0,0.31455619666171425,0.0,0.0,0.10485206555390475,0.0,0.0,0.10485206555390475,0.10485206555390475,0.14648623742860484,0.08155735926528919,0.0,0.10485206555390475,0.10485206555390475,0.0,0.16311471853057838,0.0,0.10485206555390475,0.0,0.07324311871430242,0.08155735926528919,0.16311471853057838,0.0,0.14648623742860484,0.0,0.09173316730275828,0.0,0.0,0.10485206555390475,0.0,0.0,0.08155735926528919,0.07324311871430242,0.0,0.0,0.0,0.0,0.0,0.09173316730275828,0.18346633460551656,0.0,0.0,0.0,0.10485206555390475,0.0,0.26485411396299274,0.0,0.09173316730275828,0.0,0.10950614025169311,0.0,0.10485206555390475,0.0,0.0,0.21972935614290726,0.0,0.0,0.0,0.0,0.07324311871430242,0.24467207779586758,0.0,0.0,0.16425921037753966,0.054753070125846556,0.2097041311078095,0.0,0.0,0.10485206555390475,0.10485206555390475,0.0,0.0,0.0,0.0,0.0,0.07324311871430242,0.10485206555390475,0.0,0.0,0.0,0.0,0.049948412425686865,0.0,0.09173316730275828,0.10485206555390475,0.10485206555390475,0.2097041311078095,0.18346633460551656,0.10485206555390475,0.0,0.09173316730275828,0.0,0.0,0.0,0.0,0.10485206555390475,0.0,0.08155735926528919,0.0,0.10485206555390475,0.0,0.10485206555390475,0.0,0.0,0.09173316730275828,0.0,0.0,0.0,0.09173316730275828,0.10485206555390475,0.0,0.0,0.0,0.0,0.0,0.0,0.06621352849074819,0.10485206555390475,0.16425921037753966,0.0,0.0,0.0,0.0,0.09173316730275828,0.0,0.0,0.18346633460551656
lau-014,0.0,0.0,0.0,0.04773017235568842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13336529563376304,0.0,0.0,0.0,0.04773017235568842,0.0,0.03712608611039506,0.0,0.04773017235568842,0.03712608611039506,0.0,0.07425217222079011,0.07425217222079011,0.0,0.2667305912675261,0.04773017235568842,0.0,0.0,0.04773017235568842,0.04773017235568842,0.0,0.0,0.07425217222079011,0.0,0.03712608611039506,0.041758260678640476,0.22275651666237034,0.04773017235568842,0.0,0.0,0.041758260678640476,0.20879130339320237,0.04773017235568842,0.0,0.04773017235568842,0.3341112064898189,0.09042405918604249,0.0,0.041758260678640476,0.0,0.12462193569120524,0.0,0.0,0.03712608611039506,0.04773017235568842,0.2333892673590853,0.03334132390844076,0.0,0.0,0.0,0.13336529563376304,0.0,0.0,0.03334132390844076,0.3489414199353747,0.07477316141472314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04773017235568842,0.04773017235568842,0.04773017235568842,0.0,0.04773017235568842,0.0,0.13336529563376304,0.0,0.04773017235568842,0.3183213272840636,0.0,0.08351652135728095,0.04773017235568842,0.0,0.09546034471137683,0.20879130339320237,0.04773017235568842,0.04773017235568842,0.12527478203592143,0.0,0.0,0.0,0.041758260678640476,0.0,0.0,0.03712608611039506,0.1670330427145619,0.14319051706706526,0.0,0.0,0.03334132390844076,0.0,0.0,0.0,0.29230782475048334,0.0,0.0,0.0,0.09546034471137683,0.0,0.08351652135728095,0.0,0.0,0.08351652135728095,0.030141353062014164,0.04773017235568842,0.07477316141472314,0.0,0.19092068942275367,0.0,0.04773017235568842,0.08351652135728095,0.04773017235568842,0.0,0.0
loh-157,0.0,0.0,0.0,0.0,0.0,0.07114104689538717,0.0,0.316247443032604,0.22720646398358568,0.0,0.0,0.0813150350301298,0.0,0.0,0.05680161599589642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05680161599589642,0.0,0.0,0.0,0.0,0.0,0.07114104689538717,0.0,0.12649897721304162,0.22720646398358568,0.0,0.0,0.06324948860652081,0.0,0.0813150350301298,0.0,0.0,0.07114104689538717,0.0,0.0,0.0,0.4878902101807787,0.0,0.0813150350301298,0.0,0.0,0.08492437019281136,0.0,0.0,0.06324948860652081,0.0,0.0,0.0,0.2134231406861615,0.0,0.0,0.0,0.06324948860652081,0.0,0.22720646398358568,0.08492437019281136,0.08492437019281136,0.0,0.0813150350301298,0.0,0.0,0.0,0.0,0.06324948860652081,0.0,0.0,0.0,0.05680161599589642,0.0,0.0,0.11360323199179284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1626300700602596,0.0,0.07114104689538717,0.07114104689538717,0.2134231406861615,0.0,0.0,0.3252601401205192,0.0,0.07114104689538717,0.0,0.0,0.0,0.11360323199179284,0.12649897721304162,0.0,0.2134231406861615,0.0,0.0813150350301298,0.07114104689538717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24394510509038936,0.0,0.0,0.0,0.07114104689538717,0.0,0.0,0.0
loh-158,0.14019597707610873,0.0,0.10904900737569341,0.0,0.0,0.12265491339972379,0.0,0.10904900737569341,0.0,0.0,0.14019597707610873,0.28039195415221746,0.0,0.4205879312283262,0.0,0.10904900737569341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19586434540908576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09793217270454288,0.0,0.0,0.0,0.0,0.0,0.0,0.12265491339972379,0.0,0.0,0.0,0.0,0.0,0.0885330229154604,0.0,0.0,0.0,0.146418864018724,0.24530982679944757,0.0,0.21809801475138682,0.0,0.0,0.29379651811362867,0.0,0.12265491339972379,0.0,0.0,0.0,0.0,0.09793217270454288,0.219628296028086,0.073209432009362,0.0,0.0,0.14019597707610873,0.28039195415221746,0.0,0.0,0.0,0.0,0.0,0.14019597707610873,0.0,0.0,0.0,0.0,0.14019597707610873,0.0,0.06678520300412756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14019597707610873,0.0,0.0,0.0,0.0,0.24530982679944757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0885330229154604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24530982679944757,0.0
loh-159,0.0,0.0,0.0,0.2967877519869796,0.11542560075698112,0.0,0.0,0.0,0.10365871400291059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483938759934898,0.11542560075698112,0.0,0.0,0.11542560075698112,0.10365871400291059,0.0,0.11542560075698112,0.0,0.0,0.1483938759934898,0.0,0.1483938759934898,0.1483938759934898,0.0,0.0,0.12982710623108581,0.0,0.41463485601164235,0.11542560075698112,0.12982710623108581,0.0,0.0,0.0,0.0,0.0,0.12982710623108581,0.0,0.0,0.0,0.0,0.0,0.0,0.12982710623108581,0.0,0.0,0.0,0.0,0.0,0.0,0.20731742800582117,0.3109761420087318,0.0,0.0,0.0,0.0,0.0,0.1483938759934898,0.0,0.07749032177473536,0.07749032177473536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1483938759934898,0.0,0.0,0.0,0.0706904387664019,0.12982710623108581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12982710623108581,0.0,0.12982710623108581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10365871400291059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12982710623108581,0.0,0.0,0.1483938759934898,0.25965421246217163,0.1874199060178949,0.0,0.23247096532420608,0.0,0.0,0.0,0.1483938759934898,0.0,0.0,0.0,0.12982710623108581
loh-160,0.07129459686522968,0.07129459686522968,0.0,0.0,0.055455264705512125,0.06237434758649125,0.0,0.055455264705512125,0.09960392471627158,0.0,0.0,0.0,0.0,0.0,0.14940588707440738,0.0,0.0,0.0,0.0,0.14258919373045936,0.055455264705512125,0.07129459686522968,0.0,0.11091052941102425,0.09960392471627158,0.2218210588220485,0.0,0.07129459686522968,0.04980196235813579,0.0,0.18712304275947375,0.0,0.0,0.0,0.1247486951729825,0.0,0.0,0.09960392471627158,0.0,0.1247486951729825,0.2218210588220485,0.14258919373045936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18008865331681553,0.14258919373045936,0.0,0.0,0.07445915425956068,0.1247486951729825,0.07129459686522968,0.0,0.0,0.0,0.09960392471627158,0.06237434758649125,0.1247486951729825,0.0,0.04980196235813579,0.0,0.0,0.09960392471627158,0.14891830851912136,0.223377462778682,0.0,0.07129459686522968,0.0,0.0,0.0,0.0,0.11091052941102425,0.0,0.21388379059568904,0.0,0.09960392471627158,0.0,0.07129459686522968,0.09960392471627158,0.07129459686522968,0.07129459686522968,0.3735889321826006,0.0,0.06237434758649125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06237434758649125,0.06237434758649125,0.1247486951729825,0.06237434758649125,0.0,0.0,0.11091052941102425,0.06237434758649125,0.0,0.07129459686522968,0.0,0.04980196235813579,0.2772763235275606,0.18712304275947375,0.0,0.0,0.0,0.06237434758649125,0.07129459686522968,0.07129459686522968,0.1247486951729825,0.06237434758649125,0.06237434758649125,0.0,0.0,0.04502216332920388,0.0,0.223377462778682,0.0,0.0,0.0,0.0,0.0,0.0,0.06237434758649125,0.06237434758649125
